Ficha_Code;User_Id;Semestre;Asig_Code;Aula;PEC;PEC_Fecha;PEC_Entrega;PEC_Nota;PEC_Publicacion
896031;993628;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
896031;993628;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
896031;993628;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
896031;993628;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
896031;993628;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
887910;994256;20181;B2.343;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
887910;994256;20181;B2.343;1;PEC 2_ Estructura de la memoria;03/12/2018;-;-;10/12/2018
887910;994256;20181;B2.343;1;PEC 3_ Primera versión de la memoria;07/01/2019;-;-;14/01/2019
887910;994256;20181;B2.343;1;Entrega final;28/01/2019;-;-;12/02/2019
887910;994256;20181;B2.343;1;Tribunal de Evaluación;12/02/2019;-;-;19/02/2019
790472;973815;20181;B2.343;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
790472;973815;20181;B2.343;1;PEC 2_ Estructura de la memoria;03/12/2018;-;-;10/12/2018
790472;973815;20181;B2.343;1;PEC 3_ Primera versión de la memoria;07/01/2019;-;-;14/01/2019
790472;973815;20181;B2.343;1;Entrega final;28/01/2019;-;-;12/02/2019
790472;973815;20181;B2.343;1;Tribunal de Evaluación;12/02/2019;-;-;19/02/2019
790472;973815;20181;B2.584;2;Práctica 1. Extracción y análisis de datos desde redes sociales;18/11/2018;-;-;06/12/2018
790472;973815;20181;B2.584;2;Práctica 2. Gestión y visualización de datos geográficos;11/12/2018;-;-;24/12/2018
790472;973815;20181;B2.584;2;Práctica 3. Análisis  de datos geográficos;30/12/2018;-;-;14/01/2019
790472;973815;20181;B2.584;2;Práctica 4. Análisis y extracción de datos enlazados;06/02/2019;-;-;19/02/2019
790472;973815;20181;B2.586;1;PEC 1 - Conceptos básicos y Modelos de datos;20/11/2018;-;-;04/12/2018
790472;973815;20181;B2.586;1;PEC 2 - Distribución de datos y MapReduce  ;18/12/2018;-;-;04/01/2019
